Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,-0.3999999999492702,-7.0,-0.011279235138449008,-0.1200000000003056,-0.4940016585677735
-3.0,-0.19999999998636683,-7.0,-0.011601373377519607,-0.15000000000030564,-0.49350322065150065
-3.0,0.0,-7.0,-0.011997273953099505,-0.19000000000030567,-0.49183448769880966
-3.0,0.20000000001065574,-7.0,-0.012481964766559077,-0.2300000000003057,-0.49162682481793013
-3.0,1.0,-7.0,-0.015705063728231678,-0.5100000000003059,-0.47810868218286684
-3.0,2.0,-7.0,-0.024986219044305043,-1.190000000000302,-0.42895935706531396
-3.0,3.0,-7.0,-0.046954978714584136,-2.3500000000002776,-0.35953720782684734
-3.0,4.0,-7.0,-0.09458073197695843,-3.8950000000002447,-0.30874782938466566
-3.0,5.0,-7.0,-0.18790072930649945,-5.695000000000206,-0.2556435085521934
-3.0,6.0,-7.0,-0.33716623134660323,-7.640000000000165,-0.19389734331364453
-3.0,1.1999999999996949,-7.0,-0.016962001829500153,-0.615000000000306,-0.4709254967043992
-3.0,2.199999999999969,-7.0,-0.028039954383463062,-1.3850000000002978,-0.4145055546799701
-3.0,3.199999999999996,-7.0,-0.05389457997163415,-2.635000000000272,-0.3478764446833732
-3.0,4.199999999999999,-7.0,-0.10883401350840363,-4.2350000000002375,-0.2993077872670887
-3.0,5.2,-7.0,-0.2139070875638768,-6.080000000000196,-0.2433259990597366
-3.0,0.3999999999983436,-7.0,-0.013072973832066495,-0.2850000000003057,-0.4892959065531417
